BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR317809,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR278581,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR278582,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR278583,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR278584,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107098,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107099,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107100,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107101,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107609,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107610,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107611,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107612,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107613,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107614,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107615,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107616,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107617,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107618,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107619,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107620,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107621,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107622,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107623,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107624,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107625,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107626,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107627,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107628,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107629,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107630,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107631,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107632,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107633,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107634,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107635,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107636,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107637,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107638,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107639,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107640,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107641,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107642,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107643,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107644,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107645,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107646,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107647,Echinops telfairi,PRJNA12590
SAMN00216137,SAMN00216137,GCF_000313985.2,SRR107648,Echinops telfairi,PRJNA12590
